SettlementPoint,Year,Month,Mean,Min,Max,SD,Volatility
LZ_NORTH,2016,06,23.562680555555538,3.64,104.06,11.06260150478111,0.39652291672487266
LZ_NORTH,2016,07,27.415779569892468,9.05,101.55,12.339122952872145,0.3889755446778223
LZ_NORTH,2016,08,30.148575268817204,13.37,227.06,26.10430386099207,0.4754631064450502
LZ_NORTH,2016,09,26.605861111111118,10.73,201.47,14.901666131659884,0.36953025204703294
LZ_NORTH,2016,10,24.532661290322576,2.85,273.64,16.034106142812703,0.4242832536960376
LZ_NORTH,2016,11,18.830513888888884,2.0,50.24,6.250940703599587,0.39296794022627196
LZ_NORTH,2016,12,25.286250000000003,3.43,140.29,11.070745441320296,0.4141833362956431
LZ_NORTH,2017,01,23.60302419354839,2.91,96.68,7.536311693229169,0.33954276997685595
LZ_NORTH,2017,02,19.550014880952382,4.39,51.83,6.023653240387761,0.34929063988706593
LZ_NORTH,2017,03,21.83940780619112,5.34,64.71,7.067790149708489,0.3251745601150937
LZ_NORTH,2017,04,21.97580555555556,7.13,62.41,6.617664494044783,0.29802716380227123
LZ_NORTH,2017,05,24.557513440860212,5.22,72.98,8.001947903825615,0.32346716624926664
LZ_NORTH,2017,06,26.893736111111114,15.46,80.74,10.269483673647457,0.31835655057517603
LZ_NORTH,2017,07,31.186841397849467,16.47,254.01,17.44390062497039,0.39846637236432686
LZ_NORTH,2017,08,27.0603629032258,16.62,86.53,10.529417676731134,0.3284185234655215
LZ_NORTH,2017,09,23.968402777777786,8.29,56.01,8.103816548207519,0.2941329694527748
LZ_NORTH,2017,10,21.938427419354838,1.89,85.01,8.63646428172293,0.3548707623448469
LZ_NORTH,2017,11,22.26316666666667,3.21,70.4,7.878656117975511,0.35455020119344016
LZ_NORTH,2017,12,21.40813172043011,6.28,58.74,5.243574354344971,0.22754679548992734
LZ_NORTH,2018,01,37.72852150537634,6.32,1664.01,87.76979241169174,0.5503393901371523
LZ_NORTH,2018,02,21.840461309523814,5.84,74.29,7.579751376820837,0.3083235761487388
LZ_NORTH,2018,03,22.64055181695828,7.89,70.07,8.388701044899271,0.3413526760897044
